,jan_payments,feb_payments,mar_payments,apr_payments,may_payments,jun_payments,jul_payments,aug_payments,sep_payments,oct_payments,nov_payments,dec_payments,jan_mandates,feb_mandates,mar_mandates,apr_mandates,may_mandates,jun_mandates,jul_mandates,aug_mandates,sep_mandates,oct_mandates,nov_mandates,dec_mandates,company
729,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy
730,6.0,2.0,1.0,2.0,11.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,art/cinema
731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy
732,3.0,5.0,5.0,2.0,6.0,3.0,1.0,3.0,2.0,10.0,9.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,art/cinema
733,0.0,0.0,6.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,8.0,7.0,6.0,8.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,accountancy
734,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,contractor
735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,accountancy
736,0.0,0.0,0.0,7.0,13.0,9.0,0.0,0.0,14.0,10.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,art/cinema
737,7.0,11.0,13.0,12.0,13.0,14.0,16.0,15.0,14.0,15.0,14.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,contractor
738,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,5.0,2.0,2.0,2.0,art/cinema
739,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,art/cinema
